workload,threads,keys,elements,capacity,zeroed,value type,operator,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
ThreadLocalE2E,2,1000,100000000,1000,true,I64,Sum,0.8,0,+1.158352e6,0.288872025,0.287509499,0.293159625,0.297495348,0.292328711,0.292118586,0.293749855,0.287762415,0.295542139,+1.69e-5,+2.0197007994729793e-1,+9.058591921127493e-2,+2.26966e-4
PartitionedE2E,2,1000,100000000,1000,true,I64,Sum,0.8,0,+1.029224e6,0.526385029,0.52724781,0.527264132,0.526832569,0.530204237,0.530705873,0.530172751,0.527834844,0.526442202,+3.2e-7,+5.26828708e-1,+2.55306e-4,+1.81937e-4
AtomicE2E,2,1000,100000000,1000,true,I64,Sum,0,0.5,+1.146136e6,0.417919078,0.432088506,0.420473344,0.418306423,0.41838818,0.405562906,0.426830687,0.474940927,0.414272585,+1.873e-5,+2.0318160000813493e-1,+2.1518242999186507e-1,+3.68e-6
ThreadLocalE2E,2,1000,100000000,1000,true,I64,Sum,0,0.5,+1.158352e6,0.291276805,0.291725001,0.291456084,0.290785384,0.292802365,0.29159287,0.291174345,0.291904632,0.292099311,+1.674e-5,+2.036857768695765e-1,+8.772174131814788e-2,+2.36328e-4
PartitionedE2E,2,1000,100000000,1000,true,I64,Sum,0,0.5,+1.029176e6,0.727425933,0.520370091,0.51742956,0.727281449,0.524572188,0.726649126,0.721865051,0.523163571,0.726555871,+3.4e-7,+7.21418398e-1,+2.66807e-4,+1.91617e-4
CuckooMap,2,10000000,100000000,10000000,true,I64,Sum,0,0,+3.70006376e8,7.920316953,7.950355472,7.937296788,8.003107269,8.009856737,8.01267029,7.970033892,7.992438774,7.987654341,+8.610348e-3,+7.977806995e0,+0e0,+1.291235e-3
DashMap,2,10000000,100000000,10000000,true,I64,Sum,0,0,+2.86335512e8,5.238045483,5.383366872,5.521742238,5.22175312,5.353581092,5.237411866,5.227061185,5.218397896,5.321318406,+1.054141e-2,+5.203490051e0,+0e0,+2.3682211e-2
FolkloreMap,2,10000000,100000000,10000000,true,I64,Sum,0,0,+3.21049144e8,1.286356809,1.280322854,1.286722455,1.277657424,1.260479767,1.253675138,1.2551230310000001,1.274485302,1.258865358,+2.37e-5,+1.2731165039999999e0,+0e0,+1.343698e-3
IcebergMap,2,10000000,100000000,10000000,true,I64,Sum,0,0,+2.5693212e8,2.4733977879999998,2.452851922,2.442360371,2.459095982,2.477305683,2.451370804,2.467306926,2.459542857,2.448400701,+2.44878e-4,+2.457715154e0,+0e0,+1.18498e-3
LeapMap,2,10000000,100000000,10000000,true,I64,Sum,0,0,+4.37257088e8,2.553001203,2.53160116,2.549863739,2.545199506,2.55432338,2.5278181269999997,2.579802898,2.585259098,2.55351926,+8.5591411e-2,+2.465215244e0,+0e0,+1.595556e-3
AtomicPau,2,10000000,100000000,10000000,true,I64,Sum,0,0,+8.1053128e7,0.581945037,0.582170296,0.58531507,0.582131339,0.585031871,0.583125031,0.585172599,0.589307813,0.583065835,+2.064e-5,+0e0,+5.82756214e-1,+3e-8
LockingPau,2,10000000,100000000,10000000,true,I64,Sum,0,0,+2.01059272e8,2.001150306,2.007572694,2.004355497,1.9736952429999999,1.993934571,1.992214432,2.005859814,1.99668844,2.005566459,+1.9471181e-2,+0e0,+1.98295943e0,+5.22966e-4
ThreadLocalPau,2,10000000,100000000,10000000,true,I64,Sum,0,0,+1.61057344e8,0.524067683,0.525679664,0.531387415,0.531045451,0.530342181,0.530999819,0.530383169,0.535351943,0.533397025,+4e-8,+0e0,+5.23521888e-1,+6.976707e-3
AtomicE2E,2,10000000,100000000,10000000,true,I64,Sum,0,0,+5.61090136e8,1.8323004410000001,1.830069363,1.833240054,1.818680986,1.8201645499999999,1.821710494,1.822802491,1.8187311240000001,1.82669552,+3.198e-5,+1.32576559609431e0,+4.9418226966690515e-1,+1.389969e-3
ThreadLocalE2E,2,10000000,100000000,10000000,true,I64,Sum,0,0,+6.41094352e8,1.746361454,1.74258052,1.7500443780000001,1.7461467050000001,1.748852885,1.738656455,1.755124101,1.756338491,1.752345058,+2.802e-5,+1.3373530095504642e0,+4.0465696726191946e-1,+6.861161e-3
PartitionedE2E,2,10000000,100000000,10000000,true,I64,Sum,0,0,+3.649045336e9,2.33529865,2.262061085,2.255744591,2.264285629,2.2628724399999998,2.255692681,2.350908918,2.2486222160000002,2.341825478,+4.9e-8,+1.018519684e0,+1.230522807e0,+1.5636544e-2
CuckooMap,2,10000000,100000000,10000000,true,I64,Sum,0.8,0,+3.70006376e8,6.662560318,6.684002143,6.674021668,6.668088161,6.661696389,6.700282371,6.726337401,6.702131209,6.665457227,+8.472746e-3,+6.66404363e0,+0e0,+1.303402e-3
DashMap,2,10000000,100000000,10000000,true,I64,Sum,0.8,0,+2.86335512e8,5.002522441,4.919694553,4.816044602,4.811855811,4.806371573,4.8117526139999995,4.854824228,4.849981725,5.117453404,+1.0335695e-2,+4.816217731e0,+0e0,+2.3536567e-2
FolkloreMap,2,10000000,100000000,10000000,true,I64,Sum,0.8,0,+3.21049144e8,1.037996131,1.038807567,1.035122995,1.041205094,1.035596322,1.077185942,1.053262083,1.054002239,1.032375148,+2.351e-5,+1.037481223e0,+0e0,+1.355953e-3
IcebergMap,2,10000000,100000000,10000000,true,I64,Sum,0.8,0,+2.5693212e8,2.225355291,2.209438372,2.222843398,2.225336159,2.232011291,2.233360467,2.205990122,2.254261312,2.209903998,+3.29638e-4,+2.223732748e0,+0e0,+1.211995e-3
LeapMap,2,10000000,100000000,10000000,true,I64,Sum,0.8,0,+4.37257088e8,2.260727616,2.243993718,2.261970974,2.229732228,2.225936436,2.240994688,2.230002319,2.227382022,2.226722634,+8.9302963e-2,+2.138822944e0,+0e0,+1.607832e-3
AtomicPau,2,10000000,100000000,10000000,true,I64,Sum,0.8,0,+8.1053128e7,0.588005578,0.596187803,0.584736719,0.58713261,0.587449061,0.597338189,0.597243652,0.587312931,0.584857643,+2.111e-5,+0e0,+5.87083053e-1,+4e-8
