workload,threads,keys,elements,capacity,zipf,heavy hitter,memory,t1,t2,t3,t4,t5,t6,t7,t8,t9,initialization,stage 1,stage 2,materialization
LockingE2E,2,100000000,100000000,100000000,0,0,+6.3340184688568115e0,3.3424125780000002,3.347463837,3.336456023,3.360435614,3.352796814,3.427931239,3.415071117,3.34880976,3.360945719,+3.16750985e-1,+1.738925854814262e0,+1.2759900345578192e0,+1.2800925e-2
ThreadLocalE2E,2,100000000,100000000,100000000,0,0,+5.961489319801331e0,2.388512488,2.351204054,2.355508994,2.360607778,2.424706977,2.425409446,2.380561518,2.419628246,2.359305397,+2.11000118e-1,+1.8120550771327233e0,+3.0811051979812126e-1,+3.5582514e-2
PartitionedE2E,2,100000000,100000000,100000000,0,0,+9.038140296936035e0,3.628169688,3.6259173369999997,3.626028379,3.620906997,3.625492053,3.622666173,3.626489591,3.635291597,3.6209298800000003,+4.1e-7,+6.43419892e-1,+2.874183845e0,+1.08468795e-1
AtomicE2E,4,1000,100000000,1000,0,0,+2.0540952682495117e-3,1.806745245,1.798454924,1.737429576,1.739780057,1.738321002,1.753227603,1.794744449,1.744845235,1.727867219,+2.4679e-5,+9.189678772104899e-2,+1.6530034569042962e0,+1.0659e-5
LockingE2E,4,1000,100000000,1000,0,0,+2.07674503326416e-3,2.21526374,2.208106671,2.261293812,2.237724067,2.186607533,2.27533355,2.261784888,2.236385953,2.2565973870000002,+2.827e-5,+9.226022240781641e-2,+2.1452261538233857e0,+5.1e-6
ThreadLocalE2E,4,1000,100000000,1000,0,0,+2.0848512649536133e-3,0.125131558,0.115262922,0.117692432,0.130722015,0.11420862,0.117778381,0.124703905,0.117464015,0.115941272,+2.1739e-5,+9.96292765837351e-2,+1.7871728416264897e-2,+2.69115e-4
PartitionedE2E,4,1000,100000000,1000,0,0,+3.873467445373535e-3,0.151550176,0.146172995,0.146656218,0.151875301,0.164236833,0.147499423,0.153757949,0.143829575,0.1465512,+7.6e-7,+1.4707162e-1,+4.17323e-4,+1.085e-5
AtomicE2E,4,10000000,100000000,10000000,0,0,+5.235426425933838e-1,0.895632944,0.871355861,0.874662276,0.885902978,0.873092232,0.857861118,0.885548164,0.853842805,0.883681345,+8.1887541e-2,+6.0155076669914e-1,+1.8949236267841402e-1,+1.18178e-3
LockingE2E,4,10000000,100000000,10000000,0,0,+6.353127956390381e-1,1.524419824,1.558144942,1.574572777,1.535878625,1.5116431399999999,1.509387908,1.5410732089999999,1.518100073,1.5181826520000001,+8.4227612e-2,+5.920442180862776e-1,+8.430556829137225e-1,+1.537915e-3
ThreadLocalE2E,4,10000000,100000000,10000000,0,0,+7.470906972885132e-1,0.866358819,0.874691339,0.860740673,0.797016288,0.801997435,0.86329898,0.806647027,0.821660527,0.867723997,+6.7806557e-2,+6.140068901539321e-1,+1.6764310115592404e-1,+9.037889e-3
PartitionedE2E,4,10000000,100000000,10000000,0,0,+3.4444406032562256e0,1.190969445,1.236117151,1.249471288,1.229843606,1.190983256,1.218793461,1.217744319,1.193054142,1.245423677,+7.1e-7,+3.69232979e-1,+8.29237342e-1,+2.0489818e-2
AtomicE2E,4,100000000,100000000,100000000,0,0,+5.2174084186553955e0,1.7672594080000001,1.740882859,1.566971486,1.765050006,1.7598940330000001,1.5772214660000001,1.565689449,1.570457109,1.75122245,+2.95282546e-1,+1.1845898873744702e0,+2.393228943077411e-1,+9.620139e-3
LockingE2E,4,100000000,100000000,100000000,0,0,+6.335006952285767e0,2.190345446,2.231183793,2.120579953,2.231267963,2.1794363,2.276164595,2.187440228,2.120501727,2.194764787,+3.53256419e-1,+1.0902860218614736e0,+7.25561278133252e-1,+1.2883434e-2
ThreadLocalE2E,4,100000000,100000000,100000000,0,0,+7.452607274055481e0,1.716415339,1.6635463129999999,1.664473588,1.483911664,1.666406416,1.6867909970000001,1.691802802,1.668512272,1.689687879,+2.20958439e-1,+1.195127921958072e0,+1.8097304789189977e-1,+5.9601775e-2
